date	n_dem	n	p
2016-11-08	 0	 0	0.00000000
2016-11-08	 1	 0	0.00000000
2016-11-08	 2	 0	0.00000000
2016-11-08	 3	 0	0.00000000
2016-11-08	 4	 0	0.00000000
2016-11-08	 5	 0	0.00000000
2016-11-08	 6	 0	0.00000000
2016-11-08	 7	 0	0.00000000
2016-11-08	 8	 1	0.00584795
2016-11-08	 9	 2	0.01169591
2016-11-08	10	 3	0.01754386
2016-11-08	11	 4	0.02339181
2016-11-08	12	 5	0.02923977
2016-11-08	13	 6	0.03508772
2016-11-08	14	 7	0.04093567
2016-11-08	15	 8	0.04678363
2016-11-08	16	 9	0.05263158
2016-11-08	17	10	0.05847953
2016-11-08	18	11	0.06432749
2016-11-08	19	12	0.07017544
2016-11-08	20	13	0.07602339
2016-11-08	21	14	0.08187135
2016-11-08	22	15	0.08771930
2016-11-08	23	16	0.09356725
2016-11-08	24	17	0.09941520
2016-11-08	25	18	0.10526316
2016-11-08	26	 0	0.00000000
2016-11-08	27	 0	0.00000000
2016-11-08	28	 0	0.00000000
2016-11-08	29	 0	0.00000000
2016-11-08	30	 0	0.00000000
2016-11-08	31	 0	0.00000000
2016-11-08	32	 0	0.00000000
2016-11-08	33	 0	0.00000000
2016-11-08	34	 0	0.00000000
